Date,Closing Price,Pair
11/19/03,0.6998,EUR_GBP
11/20/03,0.699,EUR_GBP
11/21/03,0.6995,EUR_GBP
11/24/03,0.6937,EUR_GBP
11/25/03,0.694,EUR_GBP
11/26/03,0.6972,EUR_GBP
11/27/03,0.6947,EUR_GBP
11/28/03,0.6963,EUR_GBP
12/01/03,0.6962,EUR_GBP
12/02/03,0.6986,EUR_GBP
12/03/03,0.7006,EUR_GBP
12/04/03,0.7018,EUR_GBP
12/05/03,0.7037,EUR_GBP
12/08/03,0.7049,EUR_GBP
12/09/03,0.7018,EUR_GBP
12/10/03,0.7011,EUR_GBP
12/11/03,0.7,EUR_GBP
12/12/03,0.7036,EUR_GBP
12/15/03,0.7047,EUR_GBP
12/16/03,0.7026,EUR_GBP
12/17/03,0.7026,EUR_GBP
12/18/03,0.701,EUR_GBP
12/19/03,0.7009,EUR_GBP
12/22/03,0.703,EUR_GBP
12/23/03,0.7027,EUR_GBP
12/24/03,0.7015,EUR_GBP
12/25/03,0.7026,EUR_GBP
12/26/03,0.7017,EUR_GBP
12/29/03,0.7042,EUR_GBP
12/30/03,0.706,EUR_GBP
12/31/03,0.7049,EUR_GBP
1/01/04,0.7035,EUR_GBP
1/02/04,0.7022,EUR_GBP
1/05/04,0.7009,EUR_GBP
1/06/04,0.6987,EUR_GBP
1/07/04,0.695,EUR_GBP
1/08/04,0.6962,EUR_GBP
1/09/04,0.694,EUR_GBP
1/12/04,0.6901,EUR_GBP
1/13/04,0.6916,EUR_GBP
1/14/04,0.6903,EUR_GBP
1/15/04,0.6904,EUR_GBP
1/16/04,0.6889,EUR_GBP
1/19/04,0.6928,EUR_GBP
1/20/04,0.6911,EUR_GBP
1/21/04,0.6897,EUR_GBP
1/22/04,0.6895,EUR_GBP
1/23/04,0.6892,EUR_GBP
1/26/04,0.6875,EUR_GBP
1/27/04,0.6917,EUR_GBP
1/28/04,0.6852,EUR_GBP
1/29/04,0.6835,EUR_GBP
1/30/04,0.6838,EUR_GBP
2/02/04,0.6831,EUR_GBP
2/03/04,0.6817,EUR_GBP
2/04/04,0.6844,EUR_GBP
2/05/04,0.6842,EUR_GBP
2/06/04,0.688,EUR_GBP
2/09/04,0.683,EUR_GBP
2/10/04,0.6785,EUR_GBP
2/11/04,0.6782,EUR_GBP
2/12/04,0.6765,EUR_GBP
2/13/04,0.6755,EUR_GBP
2/16/04,0.6755,EUR_GBP
2/17/04,0.6741,EUR_GBP
2/18/04,0.672,EUR_GBP
2/19/04,0.6713,EUR_GBP
2/20/04,0.6735,EUR_GBP
2/23/04,0.6723,EUR_GBP
2/24/04,0.6708,EUR_GBP
2/25/04,0.6682,EUR_GBP
2/26/04,0.6679,EUR_GBP
